Nome,Abreviação,Email,Senha,CPF,Salário,CEP
Ana Paula Silva,Ana.Paula,Ana.Paula@Empresa.com.br,k9#Fm2,123.456.789-01,3.500,01311-000
João Pedro Santos,João.Pedro,João.Pedro@Empresa.com.br,p@3Yq6,987.654.321-09,4.200,01305-100
Maria Clara Oliveira,Maria.Clara,Maria.Clara@Empresa.com.br,T7$gL1,456.789.123-45,4.800,01418-001
Lucas Henrique Costa,Lucas.Henrique,Lucas.Henrique@Empresa.com.br,r5!xN8,321.654.987-90,6.500,01426-001
Juliana Ferreira Almeida,Juliana.Ferreira,Juliana.Ferreira@Empresa.com.br,J4*hP9,789.123.456-78,7.200,01414-001
Gabriel dos Santos Lima,Gabriel.dos,Gabriel.dos@Empresa.com.br,b8@Wc3,654.321.987-09,8.000,01301-000
Fernanda Rocha Gomes,Fernanda.Rocha,Fernanda.Rocha@Empresa.com.br,Q2&dM7,234.567.891-23,10.500,01307-001
Rafael Martins dos Reis,Rafael.Martins,Rafael.Martins@Empresa.com.br,s6#Kt0,876.543.219-87,12.000,01504-001
Amanda Cristina Pereira,Amanda.Cristina,Amanda.Cristina@Empresa.com.br,L9!vR4,345.678.912-34,13.500,01518-001
Thiago Silva dos Anjos,Thiago.Silva,Thiago.Silva@Empresa.com.br,m3$Xp1,912.345.678-90,3.800,04010-001
Priscila Mendes Carvalho,Priscila.Mendes,Priscila.Mendes@Empresa.com.br,Z5@nG7,567.891.234-56,4.500,04018-001
Carlos Eduardo Almeida,Carlos.Eduardo,Carlos.Eduardo@Empresa.com.br,f8#jB2,432.109.876-54,5.000,04040-001
Vanessa Soares da Silva,Vanessa.Soares,Vanessa.Soares@Empresa.com.br,D1%kY6,678.912.345-67,6.800,01508-001
Leonardo Rodrigues dos Santos,Leonardo.Rodrigues,Leonardo.Rodrigues@Empresa.com.br,w7*Hq9,210.987.654-32,7.500,01506-001
Tatiane Santos Ferreira,Tatiane.Santos,Tatiane.Santos@Empresa.com.br,V4!sP0,891.234.567-89,8.500,01505-001
